,Theta1,Std.Error_theta1
0,-0.04535403665397553,2.2845526209314686
1,-12.097471156654251,1.6820585912045793
2,-0.6931277013003747,0.051573498444334676
3,1.6323002403289024,0.2382780147330981
4,250.87809266771274,31.907637869581926
5,0.8920989967018613,8.617509442756802
6,0.9949335115420581,0.6455658586716733
7,-21.032785693028472,3.9691585788719
8,-0.1370764604070498,0.02310831111913618
9,69.46604646740116,4.037482332428883
10,86.20821851061191,10.907336941436064
11,120.22952557483279,13.732040039797878
12,-96.0507141039343,40.91694946848934
13,-21.088944954236922,12.08953464974596
14,190.63797208143433,14.183619015723885
15,144.59783851286738,24.02704781453461
16,-62.71920038067219,15.615292292850915
17,-79.25853131353688,14.672289573630206
18,20.515717486122412,11.495279756757515
