,Theta1,Std.Error_theta1
0,0.18297681906483376,2.407080017749938
1,-12.204378523879058,2.344543088723365
2,-0.6961109993789929,0.4029050966505601
3,1.640357793473001,0.24216346488832372
4,249.66277140896364,47.607996100176095
5,-0.22765607896008078,9.735213028960844
6,0.872612363350072,0.9359706769735534
7,-21.258444008233255,4.097608268508445
8,-0.13790435243584476,0.028679010147258665
9,69.44795779848937,4.028087482748171
10,87.00566524451779,14.381901610323563
11,121.43348085853552,21.23420071105298
12,-99.47065880328046,42.868773892309775
13,-21.487951172015755,11.466133973213433
14,192.27842900207634,15.736271052595853
15,143.2837800559464,25.29521827015427
16,-65.38075711853799,32.718253152598486
17,-78.45381976887438,17.47117372782305
18,20.72686716732005,11.801377364035417
